DBN,BN,School Name,School Type,Borough,Enrollment,State & Local Funding (M),Federal Funding (M),Total Funding (M),Total Funding per Pupil (K),Economic Need Index (%),Graduation Rate (%),College Readiness Index (%),College & Career Preparatory Course Index (%),Avg Regents Score - English (%),Avg Regents Score - Algebra I (%),Postsecondary Enrollment - 6 Months (%),Postsecondary Enrollment - 18 Months (%),Asian (%),Black (%),Hispanic (%),White (%),Unrepresented Race (%),Students Graduated,College Readiness Index,College & Career Preparatory Course Index,Postsecondary Enrollment - 6 Months,Postsecondary Enrollment - 18 Months,Economic Need Index,White,Hispanic,Black,Asian,Unrepresented Race,Years of principal experience,Avg Grade 8 English Proficiency,Avg Grade 8 Math Proficiency,Teacher Attendance (%),Student Attendance (%),Students with 90%+ Attendance (%),English Language Learners (%),Students with Disabilities (%),Temp Housing (%),HRA Eligible (%),Teachers w/ 3+ years of experience (%),Students Chronically Absent (%),Graduation,School Year,Location Name,Address,Postcode,Latitude,Longitude,NTA
08X558,X558,Westchester Square Academy,High School,Bronx,554,8.215,0.549,8.764,21.428,0.754,0.745,0.497,0.366,71.3,61.4,0.606,0.629,0.065,0.244,0.569,0.112,0.01,149,149,149,170,151,418,62,315,135,36,6,3.0,2.78,2.508,0.962,0.816,0.501,0.096,0.206,0.121,0.65,0.425,0.499,Low Graduation,2015-16,Westchester Square Academy,3000 EAST TREMONT AVENUE,10461,40.840702,-73.838545,Schuylerville-Throgs Neck-Edgewater Park                                   
08X559,X559,School for Tourism and Hospitality,High School,Bronx,299,5.292,0.438,5.73,24.808,0.94,0.39,0.171,0.062,58.8,54.9,0.33,0.479,0.007,0.308,0.656,0.02,0.009,105,105,105,94,73,281,6,196,92,2,3,2.2,2.391,2.095,0.952,0.7,0.282,0.247,0.294,0.291,0.849,0.808,0.718,Low Graduation,2015-16,School for Tourism and Hospitality,900 TINTON AVENUE,10456,40.821675,-73.90354599999999,Morrisania-Melrose                                                         
08X561,X561,Bronx Compass High School,High School,Bronx,381,6.451,0.522,6.974,23.122,0.871,0.802,0.406,0.163,70.2,60.9,0.424,0.34,0.042,0.281,0.638,0.021,0.018,101,101,101,118,106,332,8,243,107,16,7,2.5,2.655,2.399,0.96,0.836,0.441,0.108,0.234,0.178,0.793,0.588,0.559,Medium Graduation,2015-16,Bronx Compass High School,1980 LAFAYETTE AVENUE,10473,40.82229,-73.856167,Soundview-Castle Hill-Clason Point-Harding Park                            
09X227,X227,Bronx Collegiate Academy,High School,Bronx,388,7.156,0.496,7.652,26.498,0.939,0.842,0.485,0.198,62.1,61.7,0.571,0.531,0.034,0.232,0.719,0.01,0.005,101,101,101,91,96,364,4,279,90,13,2,8.4,2.569,2.248,0.957,0.845,0.618,0.191,0.219,0.175,0.871,0.75,0.382,Medium Graduation,2015-16,Bronx Collegiate Academy,240 EAST 172 STREET,10457,40.840422,-73.91091,East Concourse-Concourse Village                                           
09X231,X231,Eagle Academy for Young Men,High School,Bronx,291,7.649,0.578,8.227,22.71,0.804,0.712,0.348,0.311,72.5,59.9,0.488,0.671,0.007,0.55,0.405,0.017,0.021,66,66,66,82,73,234,5,118,160,2,6,3.8,2.49,2.481,0.952,0.896,0.745,0.052,0.234,0.107,0.701,0.657,0.255,Low Graduation,2015-16,Eagle Academy for Young Men,4143 THIRD AVENUE,10457,40.844958,-73.89705,Claremont-Bathgate                                                         
09X241,X241,Urban Assembly School for Applied Math and Science,High School,Bronx,334,8.861,0.688,9.549,22.379,0.895,0.707,0.5,0.323,73.5,66.3,0.798,0.842,0.0,0.32,0.668,0.006,0.006,82,82,82,94,95,299,2,223,107,0,2,0.9,2.602,2.778,0.969,0.852,0.564,0.114,0.296,0.117,0.802,0.518,0.436,Low Graduation,2015-16,Urban Assembly School for Applied Math and Science,1595 BATHGATE AVENUE,10457,40.839244,-73.90131600000001,Claremont-Bathgate                                                         
09X250,X250,Eximius College Preparatory Academy: A College Boa,High School,Bronx,430,6.1,0.395,6.495,22.174,0.865,0.8,0.435,0.322,76.7,69.5,0.667,0.752,0.009,0.321,0.653,0.0,0.017,115,115,115,102,105,372,0,281,138,4,7,7.9,2.771,2.521,0.964,0.885,0.606,0.086,0.256,0.147,0.772,0.667,0.394,Low Graduation,2015-16,Eximius College Preparatory Academy: A College Boa,1363 FULTON AVENUE,10456,40.833665,-73.902499,Claremont-Bathgate                                                         
09X252,X252,Mott Hall Bronx High School,High School,Bronx,379,4.937,0.38,5.317,21.779,0.902,0.814,0.539,0.485,77.1,62.8,0.765,0.702,0.0,0.261,0.715,0.011,0.013,102,102,102,102,104,342,4,271,99,0,5,7.7,2.68,2.469,0.965,0.836,0.505,0.111,0.227,0.127,0.805,0.643,0.495,Medium Graduation,2015-16,Mott Hall Bronx High School,1595 BATHGATE AVENUE,10457,40.839244,-73.90131600000001,Claremont-Bathgate                                                         
09X260,X260,Bronx Center for Science and Mathematics,High School,Bronx,448,6.317,0.422,6.739,20.951,0.831,0.901,0.809,0.645,82.6,71.7,0.788,0.823,0.067,0.205,0.676,0.029,0.023,111,110,110,113,113,372,13,303,92,30,10,14.1,3.049,2.965,0.97,0.911,0.719,0.058,0.234,0.112,0.719,0.844,0.281,Medium Graduation,2015-16,Bronx Center for Science and Mathematics,1363 FULTON AVENUE,10456,40.833665,-73.902499,Claremont-Bathgate                                                         
09X263,X263,Validus Preparatory Academy,High School,Bronx,361,5.578,0.391,5.97,23.303,0.923,0.694,0.408,0.25,74.7,60.2,0.511,0.566,0.006,0.316,0.665,0.006,0.007,98,98,98,90,99,333,2,240,114,2,3,5.0,2.533,2.275,0.972,0.833,0.477,0.152,0.277,0.205,0.856,0.846,0.523,Low Graduation,2015-16,Validus Preparatory Academy: An Expeditionary Lear,1595 BATHGATE AVENUE,10457,40.839244,-73.90131600000001,Claremont-Bathgate                                                         
