DBN,BN,School Name,School Type,Borough,Enrollment,State & Local Funding (M),Federal Funding (M),Total Funding (M),Total Funding per Pupil (K),Economic Need Index (%),Graduation Rate (%),College Readiness Index (%),College & Career Preparatory Course Index (%),Avg Regents Score - English (%),Avg Regents Score - Algebra I (%),Postsecondary Enrollment - 6 Months (%),Postsecondary Enrollment - 18 Months (%),Asian (%),Black (%),Hispanic (%),White (%),Unrepresented Race (%),Students Graduated,College Readiness Index,College & Career Preparatory Course Index,Postsecondary Enrollment - 6 Months,Postsecondary Enrollment - 18 Months,Economic Need Index,White,Hispanic,Black,Asian,Unrepresented Race,Years of principal experience,Avg Grade 8 English Proficiency,Avg Grade 8 Math Proficiency,Teacher Attendance (%),Student Attendance (%),Students with 90%+ Attendance (%),English Language Learners (%),Students with Disabilities (%),Temp Housing (%),HRA Eligible (%),Teachers w/ 3+ years of experience (%),Students Chronically Absent (%),Graduation,School Year,Location Name,Address,Postcode,Latitude,Longitude,NTA
01M292,M292,Orchard Collegiate Academy,High School,Manhattan,197,4.139,0.155,4.294,28.807,0.871,0.893,0.5,0.196,81.1,68.9,0.724,0.579,0.096,0.269,0.569,0.03,0.036,28,28,28,29,38,172,6,112,53,19,7,4.0,2.701,2.325,0.97,0.917,0.711,0.117,0.289,0.183,0.782,0.75,0.289,Medium Graduation,2015-16,Henry Street School for International Studies,220 HENRY STREET,10002,40.713684,-73.986336,Lower East Side                                                            
01M448,M448,University Neighborhood High School,High School,Manhattan,483,6.908,0.548,7.456,21.152,0.83,0.939,0.727,0.768,68.8,70.5,0.761,0.833,0.369,0.195,0.383,0.046,0.007,99,99,99,88,78,401,22,185,94,178,3,0.7,2.967,2.994,0.967,0.909,0.726,0.147,0.17,0.18,0.723,0.6,0.274,Medium Graduation,2015-16,University Neighborhood High School,200 MONROE STREET,10002,40.712399,-73.98449699999999,Lower East Side                                                            
01M450,M450,East Side Community School,High School,Manhattan,370,9.52,0.354,9.874,21.194,0.684,0.904,0.83,0.878,81.7,66.49,0.815,0.909,0.13,0.192,0.522,0.124,0.032,94,94,94,92,88,253,46,193,71,48,12,17.9,3.069,3.057,0.975,0.938,0.854,0.016,0.246,0.084,0.541,0.811,0.146,Medium Graduation,2015-16,East Side Community School,420 EAST 12 STREET,10009,40.729589000000004,-73.982555,East Village                                                               
01M509,M509,Marta Valle High School,High School,Manhattan,127,2.768,0.205,2.973,33.702,0.812,0.917,0.722,0.264,67.1,59.9,0.525,0.534,0.071,0.37,0.512,0.024,0.023,36,36,36,40,58,103,3,65,47,9,3,4.1,2.785,2.364,0.969,0.796,0.372,0.063,0.276,0.134,0.74,0.385,0.628,Medium Graduation,2015-16,Marta Valle High School,145 STANTON STREET,10002,40.720581,-73.98564499999999,Chinatown                                                                  
01M539,M539,"New Explorations into Science, Technology and Math",High School,Manhattan,615,16.903,0.09,16.993,16.571,0.398,1.0,0.993,0.957,88.9,78.9,0.921,0.951,0.268,0.124,0.187,0.39,0.031,140,140,140,127,183,245,240,115,76,165,19,4.1,3.695,3.901,0.965,0.952,0.904,0.003,0.143,0.02,0.285,0.738,0.096,High Graduation,2015-16,"New Explorations into Science, Technology and Math",111 COLUMBIA STREET,10002,40.718895,-73.97930799999999,Lower East Side                                                            
01M696,M696,Bard High School Early College,High School,Manhattan,615,7.574,0.023,7.597,19.17,0.403,0.987,0.98,1.0,90.0,71.6,0.978,0.991,0.293,0.111,0.171,0.398,0.027,150,150,150,135,113,248,245,105,68,180,17,8.9,3.884,4.104,0.97,0.948,0.886,0.002,0.076,0.026,0.293,0.868,0.114,High Graduation,2015-16,Bard High School Early College,525 EAST HOUSTON STREET,10002,40.719029,-73.975891,Lower East Side                                                            
02M047,M047,47 The American Sign Language and English Secondar,High School,Manhattan,196,4.408,0.129,4.538,29.476,0.77,0.925,0.675,0.513,76.2,67.7,0.743,0.8,0.031,0.276,0.643,0.046,0.004,40,40,40,35,35,151,9,126,54,6,1,11.1,2.925,2.694,0.975,0.9,0.648,0.046,0.27,0.163,0.673,0.364,0.352,Medium Graduation,2015-16,47 The American Sign Language and English Secondar,223 EAST 23 STREET,10010,40.738548,-73.982455,Gramercy                                                                   
02M135,M135,The Urban Assembly School for Emergency Management,High School,Manhattan,265,4.793,0.171,4.964,24.031,0.81,0.902,0.557,0.426,71.0,63.1,0.635,0.75,0.06,0.283,0.6,0.034,0.023,61,61,61,74,92,215,9,159,75,16,6,1.1,2.85,2.487,0.967,0.86,0.535,0.034,0.223,0.158,0.702,0.708,0.465,Medium Graduation,2015-16,The Urban Assembly School for Emergency Management,411 PEARL STREET,10038,40.711442,-74.000851,Chinatown                                                                  
02M139,M139,Stephen T. Mather Building Arts & Craftsmanship Hi,High School,Manhattan,401,7.125,0.379,7.504,25.34,0.826,0.875,0.425,0.606,73.6,63.6,0.549,0.52,0.042,0.264,0.631,0.042,0.021,80,80,80,102,75,331,17,253,106,17,8,6.1,2.736,2.587,0.971,0.849,0.473,0.072,0.257,0.117,0.721,0.659,0.527,Medium Graduation,2015-16,Stephen T. Mather Building Arts & Craftsmanship Hi,439 WEST 49TH STREET,10019,40.76337,-73.990593,Clinton                                                                    
02M280,M280,Manhattan Early College School for Advertising,High School,Manhattan,416,6.05,0.26,6.31,21.771,0.721,0.963,0.763,0.938,75.1,69.0,0.845,0.698,0.099,0.361,0.45,0.053,0.037,80,80,80,84,151,300,22,187,150,41,15,1.1,2.979,2.795,0.972,0.892,0.673,0.038,0.183,0.115,0.603,0.714,0.327,High Graduation,2015-16,Manhattan Early College School for Advertising,411 PEARL STREET,10038,40.711442,-74.000851,Chinatown                                                                  
02M282,M282,Urban Assembly Maker Academy,High School,Manhattan,390,5.616,0.275,5.891,21.042,0.718,0.896,0.597,0.455,72.3,63.8,0.787,0.698,0.082,0.269,0.497,0.108,0.044,77,77,77,94,1,280,42,194,105,32,17,5.1,2.944,2.811,0.971,0.889,0.671,0.038,0.19,0.087,0.608,0.586,0.329,Medium Graduation,2015-16,Urban Assembly Maker Academy,411 PEARL STREET,10038,40.711442,-74.000851,Chinatown                                                                  
02M288,M288,Food and Finance High School,High School,Manhattan,375,5.768,0.335,6.103,23.258,0.775,0.854,0.341,0.439,78.1,63.9,0.738,0.805,0.059,0.36,0.539,0.029,0.013,82,82,82,84,87,291,11,202,135,22,5,15.1,2.806,2.618,0.945,0.88,0.605,0.032,0.197,0.104,0.683,0.793,0.395,Medium Graduation,2015-16,Food and Finance High School,525 WEST  50TH STREET,10019,40.765184000000005,-73.992953,Clinton                                                                    
02M294,M294,Essex Street Academy,High School,Manhattan,339,5.101,0.185,5.286,22.838,0.688,0.9,0.729,0.786,76.2,66.49,0.779,0.813,0.062,0.345,0.428,0.106,0.059,70,70,70,86,80,233,36,145,117,21,20,3.7,2.968,2.65,0.967,0.886,0.653,0.035,0.271,0.088,0.563,0.926,0.347,Medium Graduation,2015-16,Essex Street Academy,350 GRAND STREET,10002,40.716778000000005,-73.989337,Chinatown                                                                  
02M296,M296,High School of Hospitality Management,High School,Manhattan,380,5.349,0.466,5.816,22.224,0.87,0.76,0.48,0.26,75.3,66.1,0.634,0.593,0.05,0.276,0.645,0.018,0.011,100,100,100,82,86,331,7,245,105,19,4,6.9,2.668,2.351,0.971,0.841,0.579,0.092,0.261,0.158,0.789,0.786,0.421,Low Graduation,2015-16,High School of Hospitality Management,525 WEST  50TH STREET,10019,40.765184000000005,-73.992953,Clinton                                                                    
02M298,M298,Pace High School,High School,Manhattan,572,7.363,0.302,7.665,20.24,0.747,0.851,0.627,0.433,79.2,67.6,0.545,0.696,0.045,0.33,0.54,0.04,0.045,134,134,134,110,92,427,23,309,189,26,26,3.7,2.98,2.799,0.966,0.869,0.555,0.03,0.184,0.087,0.631,0.795,0.445,Medium Graduation,2015-16,Pace High School,100 HESTER STREET,10002,40.716553000000005,-73.993092,Chinatown                                                                  
02M300,M300,"Urban Assembly School of Design and Construction,",High School,Manhattan,302,5.009,0.278,5.286,22.84,0.864,0.726,0.548,0.22,79.2,56.8,0.621,0.565,0.056,0.225,0.682,0.026,0.011,84,84,84,87,92,261,8,206,68,17,3,0.9,2.648,2.557,0.971,0.813,0.518,0.116,0.258,0.172,0.768,0.609,0.482,Low Graduation,2015-16,"Urban Assembly School of Design and Construction,",525 WEST  50TH STREET,10019,40.765184000000005,-73.992953,Clinton                                                                    
02M303,M303,"Facing History School, The",High School,Manhattan,372,5.85,0.412,6.261,24.462,0.859,0.828,0.455,0.303,64.9,66.49,0.551,0.614,0.011,0.255,0.699,0.022,0.013,99,99,99,107,83,320,8,260,95,4,5,7.9,2.623,2.365,0.958,0.8,0.434,0.11,0.245,0.172,0.766,0.7,0.566,Medium Graduation,2015-16,"Facing History School, The",525 WEST  50TH STREET,10019,40.765184000000005,-73.992953,Clinton                                                                    
02M305,M305,"Urban Assembly Academy of Government and Law, The",High School,Manhattan,324,4.3,0.242,4.543,21.666,0.85,0.885,0.475,0.303,78.2,64.9,0.508,0.701,0.059,0.34,0.565,0.031,0.005,61,61,61,61,67,275,10,183,110,19,2,5.0,2.839,2.543,0.97,0.852,0.536,0.04,0.207,0.17,0.769,0.56,0.464,Medium Graduation,2015-16,"Urban Assembly Academy of Government and Law, The",350 GRAND STREET,10002,40.716778000000005,-73.989337,Chinatown                                                                  
02M308,M308,Lower Manhattan Arts Academy,High School,Manhattan,290,5.379,0.458,5.837,25.875,0.819,0.785,0.477,0.223,78.3,58.6,0.61,0.675,0.086,0.286,0.583,0.028,0.017,65,65,65,77,77,238,8,169,83,25,5,0.1,2.7,2.339,0.956,0.868,0.562,0.069,0.366,0.145,0.693,0.769,0.438,Low Graduation,2015-16,Lower Manhattan Arts Academy,350 GRAND STREET,10002,40.716778000000005,-73.989337,Chinatown                                                                  
02M316,M316,"Urban Assembly School of Business for Young Women,",High School,Manhattan,179,2.981,0.137,3.118,22.264,0.84,0.766,0.468,0.16,69.5,60.8,0.603,0.635,0.056,0.492,0.374,0.034,0.044,47,47,47,63,52,150,6,67,88,10,8,14.1,2.931,2.563,0.972,0.811,0.487,0.073,0.168,0.128,0.76,0.6,0.513,Low Graduation,2015-16,"Urban Assembly School of Business for Young Women,",26 BROADWAY,10004,40.70568,-74.013302,Battery Park City-Lower Manhattan                                          
02M374,M374,Gramercy Arts High School,High School,Manhattan,468,5.79,0.316,6.106,20.064,0.761,0.908,0.716,0.376,78.3,66.8,0.588,0.711,0.045,0.327,0.519,0.064,0.045,109,109,109,114,128,356,30,243,153,21,21,5.1,3.106,2.822,0.946,0.838,0.504,0.021,0.171,0.098,0.652,0.765,0.496,Medium Graduation,2015-16,Gramercy Arts High School,40 IRVING PLACE,10003,40.735494,-73.987659,Gramercy                                                                   
02M376,M376,NYC iSchool,High School,Manhattan,466,5.892,0.025,5.917,19.426,0.343,1.0,0.963,0.587,88.9,81.3,0.885,0.838,0.084,0.148,0.223,0.487,0.058,109,109,109,113,105,160,227,104,69,39,27,6.9,3.667,3.702,0.982,0.947,0.886,0.011,0.165,0.047,0.212,0.818,0.114,High Graduation,2015-16,NYC iSchool,131 AVENUE OF THE AMERICAS,10013,40.7244,-74.004625,SoHo-TriBeCa-Civic Center-Little Italy                                     
02M392,M392,Manhattan Business Academy,High School,Manhattan,414,6.249,0.32,6.569,22.314,0.813,0.902,0.5,0.37,74.2,63.0,0.681,0.808,0.063,0.225,0.65,0.046,0.016,92,92,92,94,104,337,19,269,93,26,7,10.1,2.873,2.663,0.974,0.848,0.546,0.063,0.21,0.147,0.71,0.75,0.454,Medium Graduation,2015-16,MANHATTAN BUSINESS ACADEMY,351 WEST  18 STREET,10011,40.742867,-74.002136,Hudson Yards-Chelsea-Flatiron-Union Square                                 
02M393,M393,Business Of Sports School,High School,Manhattan,429,6.721,0.467,7.188,23.995,0.798,0.868,0.451,0.599,73.2,59.9,0.581,0.765,0.012,0.329,0.611,0.03,0.018,91,91,91,93,98,342,13,262,141,5,8,10.1,2.594,2.368,0.951,0.847,0.487,0.082,0.242,0.152,0.688,0.658,0.513,Medium Graduation,2015-16,BUSINESS OF SPORTS SCHOOL,439 WEST 49TH STREET,10019,40.76337,-73.990593,Clinton                                                                    
02M399,M399,The High School For Language And Diplomacy,High School,Manhattan,302,3.809,0.252,4.061,22.416,0.831,0.833,0.5,0.327,70.5,65.9,0.667,0.75,0.242,0.232,0.464,0.033,0.029,84,84,84,120,100,251,10,140,70,73,9,3.5,2.853,2.794,0.971,0.83,0.528,0.109,0.175,0.123,0.725,0.684,0.472,Medium Graduation,2015-16,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,40 IRVING PLACE,10003,40.735494,-73.987659,Gramercy                                                                   
02M400,M400,High School for Environmental Studies,High School,Manhattan,1146,13.65,0.764,14.415,19.374,0.788,0.786,0.603,0.411,77.4,65.9,0.761,0.779,0.111,0.161,0.649,0.065,0.014,252,252,252,297,298,903,74,744,185,127,16,3.5,2.979,2.91,0.967,0.861,0.65,0.087,0.189,0.111,0.681,0.853,0.35,Low Graduation,2015-16,High School for Environmental Studies,444 WEST 56 STREET,10019,40.767790999999995,-73.987531,Clinton                                                                    
02M407,M407,Institute for Collaborative Education,High School,Manhattan,277,4.782,0.022,4.804,16.538,0.389,0.955,0.896,0.336,81.1,66.49,0.87,0.8,0.061,0.217,0.202,0.487,0.033,67,67,67,69,60,108,135,56,60,17,9,7.5,2.915,2.769,0.965,0.916,0.824,0.007,0.191,0.065,0.253,0.852,0.176,High Graduation,2015-16,Institute for Collaborative Education,345 EAST  15TH STREET,10003,40.732447,-73.98303100000001,Gramercy                                                                   
02M408,M408,Professional Performing Arts High School,High School,Manhattan,435,6.771,0.019,6.79,19.064,0.396,0.98,0.79,0.98,87.8,69.4,0.71,0.865,0.076,0.225,0.209,0.432,0.058,100,100,100,124,96,172,188,91,98,33,25,14.1,3.466,3.421,0.967,0.933,0.817,0.002,0.145,0.048,0.239,0.862,0.183,High Graduation,2015-16,Professional Performing Arts High School,328 WEST  48 STREET,10036,40.761448,-73.988019,Clinton                                                                    
02M411,M411,Baruch College Campus High School,High School,Manhattan,475,5.681,0.01,5.691,18.681,0.4,1.0,0.955,0.768,89.8,82.4,0.983,0.955,0.354,0.036,0.137,0.432,0.041,112,112,112,117,111,190,205,65,17,168,19,15.3,3.736,3.912,0.973,0.96,0.918,0.011,0.118,0.059,0.312,0.778,0.082,High Graduation,2015-16,Baruch College Campus High School,55 EAST  25 STREET,10010,40.741929999999996,-73.986521,Hudson Yards-Chelsea-Flatiron-Union Square                                 
02M412,M412,N.Y.C. Lab School for Collaborative Studies,High School,Manhattan,471,8.958,0.184,9.142,25.92,0.295,0.974,0.913,0.848,88.5,88.5,0.887,0.922,0.191,0.036,0.123,0.575,0.075,115,115,115,124,153,139,271,58,17,90,35,12.9,3.741,3.853,0.972,0.938,0.84,0.006,0.206,0.025,0.206,0.905,0.16,High Graduation,2015-16,N.Y.C. Lab School for Collaborative Studies,333 WEST  17 STREET,10011,40.742129,-74.00219799999999,Hudson Yards-Chelsea-Flatiron-Union Square                                 
02M413,M413,School of the Future High School,High School,Manhattan,445,9.831,0.267,10.098,20.265,0.432,0.954,0.89,0.982,81.2,66.49,0.901,0.95,0.182,0.11,0.267,0.351,0.09,109,109,109,101,100,192,156,119,49,81,40,11.9,3.366,3.388,0.973,0.945,0.857,0.002,0.196,0.067,0.315,0.745,0.143,High Graduation,2015-16,School of the Future High School,127 EAST  22 STREET,10010,40.738952000000005,-73.985479,Gramercy                                                                   
02M414,M414,N.Y.C. Museum School,High School,Manhattan,449,5.601,0.24,5.841,19.682,0.562,0.979,0.916,0.879,86.2,78.8,0.877,0.949,0.245,0.136,0.376,0.223,0.02,95,95,95,114,117,252,100,169,61,110,9,14.1,3.628,3.689,0.974,0.929,0.794,0.009,0.203,0.045,0.441,0.714,0.206,High Graduation,2015-16,N.Y.C. Museum School,333 WEST  17 STREET,10011,40.742129,-74.00219799999999,Hudson Yards-Chelsea-Flatiron-Union Square                                 
02M416,M416,Eleanor Roosevelt High School,High School,Manhattan,530,6.828,0.003,6.832,19.278,0.198,1.0,1.0,0.969,92.0,84.7,0.839,0.918,0.158,0.026,0.1,0.675,0.041,128,128,128,143,146,105,358,53,14,84,22,11.1,4.022,4.18,0.971,0.968,0.945,0.0,0.155,0.009,0.13,0.848,0.055,High Graduation,2015-16,Eleanor Roosevelt High School,411 EAST 76 STREET,10021,40.770187,-73.953608,Lenox Hill-Roosevelt Island                                                
02M418,M418,Millennium High School,High School,Manhattan,681,6.924,0.02,6.944,17.341,0.481,1.0,0.986,0.947,89.6,85.0,0.879,0.944,0.47,0.038,0.11,0.32,0.062,141,141,141,174,142,328,218,75,26,320,42,7.1,3.799,3.964,0.976,0.97,0.939,0.007,0.125,0.056,0.389,0.897,0.061,High Graduation,2015-16,Millennium High School,75 BROAD STREET,10004,40.704487,-74.011556,Battery Park City-Lower Manhattan                                          
02M419,M419,Landmark High School,High School,Manhattan,330,4.83,0.355,5.185,22.58,0.826,0.765,0.5,0.378,71.3,66.49,0.574,0.64,0.03,0.339,0.591,0.024,0.016,98,98,98,68,75,273,8,195,112,10,5,6.9,2.673,2.345,0.956,0.799,0.393,0.055,0.224,0.136,0.721,0.731,0.607,Low Graduation,2015-16,Landmark High School,351 WEST  18 STREET,10011,40.742867,-74.002136,Hudson Yards-Chelsea-Flatiron-Union Square                                 
02M420,M420,High School for Health Professions and Human Servi,High School,Manhattan,1825,19.683,1.182,20.866,18.158,0.751,0.946,0.833,0.804,83.3,68.3,0.783,0.85,0.22,0.156,0.53,0.079,0.015,425,425,425,397,374,1371,144,967,285,402,27,9.9,3.167,3.19,0.965,0.92,0.782,0.042,0.13,0.081,0.65,0.811,0.218,Medium Graduation,2015-16,High School for Health Professions and Human Servi,345 EAST  15TH STREET,10003,40.732447,-73.98303100000001,Gramercy                                                                   
02M422,M422,Quest to Learn,High School,Manhattan,378,8.769,0.46,9.229,23.154,0.654,0.807,0.554,0.38,74.3,66.2,0.588,0.747,0.119,0.204,0.431,0.209,0.037,83,83,83,80,79,247,79,163,77,45,14,3.1,2.843,2.575,0.968,0.864,0.577,0.037,0.28,0.114,0.553,0.878,0.423,Medium Graduation,2015-16,Quest to Learn,351 WEST  18 STREET,10011,40.742867,-74.002136,Hudson Yards-Chelsea-Flatiron-Union Square                                 
02M425,M425,Leadership and Public Service High School,High School,Manhattan,473,6.308,0.474,6.782,21.29,0.831,0.887,0.573,0.497,73.2,63.9,0.554,0.567,0.085,0.268,0.59,0.036,0.021,150,150,150,112,157,393,17,279,127,40,10,8.1,2.826,2.611,0.965,0.832,0.499,0.049,0.201,0.123,0.746,0.767,0.501,Medium Graduation,2015-16,Leadership and Public Service High School,90 TRINITY PLACE,10006,40.708729999999996,-74.012332,Battery Park City-Lower Manhattan                                          
02M427,M427,Manhattan Academy For Arts & Language,High School,Manhattan,233,4.187,0.234,4.42,25.564,0.955,0.649,0.311,0.291,70.3,62.2,0.606,0.439,0.009,0.021,0.948,0.021,0.001,74,74,74,66,66,223,5,221,5,2,0,9.1,2.01,2.083,0.96,0.865,0.562,0.674,0.124,0.433,0.777,0.947,0.438,Low Graduation,2015-16,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,111 EAST  33RD STREET,10016,40.746176,-73.981241,Murray Hill-Kips Bay                                                       
02M432,M432,Murray Hill Academy,High School,Manhattan,304,5.277,0.341,5.618,25.216,0.821,0.686,0.5,0.236,77.5,68.9,0.478,0.746,0.059,0.306,0.53,0.066,0.039,70,70,70,67,63,250,20,161,93,18,12,9.1,2.653,2.412,0.981,0.804,0.45,0.039,0.25,0.151,0.724,0.625,0.55,Low Graduation,2015-16,Murray Hill Academy,111 EAST  33RD STREET,10016,40.746176,-73.981241,Murray Hill-Kips Bay                                                       
02M437,M437,Hudson High School of Learning Technologies,High School,Manhattan,476,7.344,0.487,7.83,23.66,0.827,0.813,0.402,0.304,72.7,59.6,0.519,0.537,0.061,0.252,0.628,0.034,0.025,107,107,107,106,123,394,16,299,120,29,12,9.1,2.739,2.506,0.968,0.822,0.448,0.088,0.256,0.137,0.725,0.853,0.552,Medium Graduation,2015-16,Hudson High School of Learning Technologies,351 WEST  18 STREET,10011,40.742867,-74.002136,Hudson Yards-Chelsea-Flatiron-Union Square                                 
02M438,M438,International High School at Union Square,High School,Manhattan,356,5.588,0.27,5.858,22.767,0.97,0.688,0.333,0.237,64.5,62.5,0.551,0.699,0.157,0.202,0.534,0.098,0.009,93,93,93,69,83,345,35,190,72,56,3,3.9,1.927,2.163,0.976,0.89,0.668,0.862,0.034,0.402,0.716,0.815,0.332,Low Graduation,2015-16,International High School at Union Square,40 IRVING PLACE,10003,40.735494,-73.987659,Gramercy                                                                   
02M439,M439,Manhattan Village Academy,High School,Manhattan,452,5.135,0.271,5.406,18.878,0.681,0.991,0.953,0.962,88.1,79.8,0.92,0.921,0.084,0.159,0.666,0.086,0.005,106,106,106,125,89,308,39,301,72,38,2,19.9,3.345,3.32,0.976,0.981,0.978,0.02,0.157,0.049,0.527,0.724,0.022,High Graduation,2015-16,Manhattan Village Academy,43 WEST  22 STREET,10010,40.741496999999995,-73.991512,Hudson Yards-Chelsea-Flatiron-Union Square                                 
02M449,M449,Vanguard High School,High School,Manhattan,427,6.4,0.431,6.831,22.414,0.763,0.776,0.622,0.209,72.4,66.49,0.675,0.642,0.059,0.246,0.593,0.068,0.034,98,98,98,123,106,326,29,253,105,25,15,7.9,2.784,2.502,0.955,0.87,0.577,0.03,0.246,0.089,0.651,0.829,0.423,Low Graduation,2015-16,Vanguard High School,317 EAST  67 STREET,10065,40.765359000000004,-73.960059,Lenox Hill-Roosevelt Island                                                
02M459,M459,Manhattan International High School,High School,Manhattan,313,4.737,0.239,4.976,21.984,0.933,0.624,0.495,0.258,70.1,66.49,0.554,0.722,0.144,0.15,0.508,0.195,0.003,93,93,93,74,72,292,61,159,47,45,1,6.9,1.978,2.187,0.975,0.877,0.599,0.716,0.022,0.233,0.636,0.727,0.401,Low Graduation,2015-16,Manhattan International High School,317 EAST  67 STREET,10065,40.765359000000004,-73.960059,Lenox Hill-Roosevelt Island                                                
02M475,M475,Stuyvesant High School,High School,Manhattan,3316,34.177,0.052,34.228,17.052,0.403,0.989,0.989,0.998,95.6,93.5,0.972,0.987,0.732,0.009,0.03,0.188,0.041,820,820,820,823,834,1336,623,99,30,2427,136,2.9,4.198,4.393,0.966,0.968,0.942,0.0,0.005,0.02,0.288,0.907,0.058,High Graduation,2015-16,Stuyvesant High School,345 CHAMBERS STREET,10282,40.71759,-74.01374799999999,Battery Park City-Lower Manhattan                                          
02M489,M489,High School of Economics and Finance,High School,Manhattan,741,9.298,0.589,9.888,20.426,0.771,0.896,0.73,0.488,77.1,68.0,0.812,0.814,0.216,0.25,0.443,0.08,0.011,163,163,163,170,167,571,59,328,185,160,8,12.0,2.899,2.889,0.97,0.898,0.767,0.059,0.193,0.109,0.657,0.705,0.233,Medium Graduation,2015-16,High School of Economics and Finance,100 TRINITY PLACE,10006,40.709196,-74.012022,Battery Park City-Lower Manhattan                                          
02M500,M500,Unity Center for Urban Technologies,High School,Manhattan,278,3.806,0.303,4.11,23.449,0.876,0.903,0.516,0.379,75.8,71.6,0.582,0.603,0.083,0.259,0.612,0.04,0.006,62,62,62,67,73,244,11,170,72,23,2,12.0,2.729,2.531,0.959,0.804,0.45,0.068,0.237,0.18,0.795,0.333,0.55,Medium Graduation,2015-16,Unity Center for Urban Technologies,111 EAST  33RD STREET,10016,40.746176,-73.981241,Murray Hill-Kips Bay                                                       
02M507,M507,Urban Assembly Gateway School for Technology,High School,Manhattan,456,6.497,0.317,6.814,22.232,0.666,0.955,0.793,0.775,77.3,69.4,0.802,0.793,0.064,0.309,0.546,0.066,0.015,111,111,111,101,111,304,30,249,141,29,7,2.0,3.012,2.928,0.965,0.922,0.76,0.035,0.224,0.092,0.513,0.743,0.24,High Graduation,2015-16,Urban Assembly Gateway School for Technology,439 WEST 49TH STREET,10019,40.76337,-73.990593,Clinton                                                                    
02M519,M519,Talent Unlimited High School,High School,Manhattan,518,6.711,0.154,6.865,21.037,0.528,0.96,0.828,0.864,84.0,72.1,0.8,0.857,0.039,0.305,0.446,0.137,0.073,99,99,99,115,126,274,71,231,158,20,38,2.8,3.294,3.089,0.976,0.909,0.725,0.01,0.141,0.052,0.4,0.794,0.275,High Graduation,2015-16,Talent Unlimited High School,317 EAST  67 STREET,10065,40.765359000000004,-73.960059,Lenox Hill-Roosevelt Island                                                
02M520,M520,Murry Bergtraum High School for Business Careers,High School,Manhattan,182,5.141,0.312,5.453,38.941,0.81,0.73,0.349,0.429,68.7,56.5,0.506,0.463,0.044,0.511,0.412,0.016,0.017,63,63,63,81,149,147,3,75,93,8,3,4.7,2.666,2.371,0.979,0.782,0.44,0.06,0.236,0.11,0.709,0.688,0.56,Low Graduation,2015-16,Murry Bergtraum High School for Business Careers,411 PEARL STREET,10038,40.711442,-74.000851,Chinatown                                                                  
02M529,M529,Jacqueline Kennedy Onassis High School,High School,Manhattan,443,6.717,0.563,7.28,21.872,0.79,0.64,0.367,0.357,68.6,64.2,0.486,0.604,0.061,0.242,0.652,0.034,0.011,150,150,150,138,154,350,15,289,107,27,5,15.1,2.675,2.417,0.972,0.785,0.36,0.09,0.201,0.131,0.695,0.486,0.64,Low Graduation,2015-16,Jacqueline Kennedy Onassis High School,120 WEST  46 STREET,10036,40.757729,-73.983078,Midtown-Midtown South                                                      
02M531,M531,Repertory Company High School for Theatre Arts,High School,Manhattan,237,3.376,0.114,3.491,21.72,0.556,1.0,0.78,0.941,79.0,70.6,0.862,0.925,0.008,0.325,0.46,0.181,0.026,59,59,59,65,53,132,43,109,77,2,6,3.5,3.331,3.134,0.946,0.91,0.689,0.004,0.169,0.051,0.418,0.867,0.311,High Graduation,2015-16,Repertory Company High School for Theatre Arts,123 WEST  43 STREET,10036,40.755843,-73.984382,Midtown-Midtown South                                                      
02M533,M533,Union Square Academy for Health Sciences,High School,Manhattan,414,5.999,0.338,6.336,22.09,0.832,0.84,0.553,0.436,69.6,60.2,0.778,0.791,0.114,0.205,0.611,0.065,0.005,94,94,94,90,91,344,27,253,85,47,2,7.1,2.82,2.694,0.968,0.878,0.609,0.075,0.152,0.104,0.742,0.621,0.391,Medium Graduation,2015-16,Union Square Academy for Health Sciences,40 IRVING PLACE,10003,40.735494,-73.987659,Gramercy                                                                   
02M534,M534,Harvest Collegiate High School,High School,Manhattan,457,7.603,0.036,7.639,22.656,0.635,0.858,0.689,0.34,76.3,66.49,0.737,0.825,0.066,0.21,0.495,0.188,0.041,106,106,106,118,97,290,86,226,96,30,19,7.0,3.061,2.801,0.955,0.861,0.618,0.024,0.252,0.072,0.514,0.789,0.382,Medium Graduation,2015-16,Harvest Collegiate High School,34 WEST  14 STREET,10011,40.736518,-73.994858,West Village                                                               
02M542,M542,Manhattan Bridges High School,High School,Manhattan,532,6.465,0.41,6.875,20.234,0.912,0.953,0.774,0.882,75.7,70.9,0.82,0.724,0.002,0.004,0.989,0.002,0.003,106,106,106,122,123,485,1,526,2,1,2,0.6,2.426,2.671,0.975,0.906,0.706,0.464,0.073,0.28,0.776,0.839,0.294,High Graduation,2015-16,Manhattan Bridges High School,525 WEST  50TH STREET,10019,40.765184000000005,-73.992953,Clinton                                                                    
02M543,M543,New Design High School,High School,Manhattan,426,6.555,0.23,6.785,22.602,0.83,0.767,0.477,0.081,75.6,61.9,0.72,0.764,0.049,0.345,0.577,0.014,0.015,86,86,86,93,72,354,6,246,147,21,6,16.1,2.661,2.364,0.964,0.827,0.468,0.054,0.263,0.129,0.732,0.795,0.532,Low Graduation,2015-16,New Design High School,350 GRAND STREET,10002,40.716778000000005,-73.989337,Chinatown                                                                  
